Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0012,SPS,2,1,2,2,1,1,0,0,NA,3,1,Zaz,39.25705,-6.03331,449,18.7,39,NA,NA,30,SPS,PC0005,0,NA,NA,M,39.25705,-6.03331,0,449,,,,,
P0013,SPS,2,1,2,2,1,0,0,0,NA,6,2,Tsm,39.22976,-6.07479,536,23.1,26.8,16.9,2.74,100,SPS,PA0078,0,NA,NA,M,39.22976,-6.07479,0,536,minimal bolting,,,,
P0013,SPS,2,1,2,2,1,0,0,0,NA,6,2,Tsm,39.22976,-6.07479,536,23.1,26.8,16.9,2.74,100,SPS,PA0081,0,NA,NA,M,39.22976,-6.07479,0,536,,,,,
P0014,SPS,2,1,2,2,1,1,0,0,NA,19,2,Mot,38.19125,-6.23774,520,14.3,37.5,12.6,2.89,30,SPS,PA0084,0,NA,NA,M,38.19125,-6.23774,0,520,bolting,,,,
P0014,SPS,2,1,2,2,1,1,0,0,NA,19,2,Mot,38.19125,-6.23774,520,14.3,37.5,12.6,2.89,30,SPS,PA0087,0,NA,NA,M,38.19125,-6.23774,0,520,bolting,,,,
P0014,SPS,2,1,2,2,1,1,0,0,NA,19,2,Mot,38.19125,-6.23774,520,14.3,37.5,12.6,2.89,30,SPS,PC0006,0,NA,NA,M,38.19125,-6.23774,0,520,bolting,,,,
P0015,ITA,2,1,2,2,1,0,0,0,NA,19,2,Madonna de Vizzini,37.16769,14.7722,668,18.3,50.4,15.2,7.11,100,ITA,PA0095,0,0,0,M,37.16769,14.7722,0,668,happy, not flowering,,,
P0015,ITA,2,1,2,2,1,0,0,0,NA,19,2,Madonna de Vizzini,37.16769,14.7722,668,18.3,50.4,15.2,7.11,100,ITA,PA0093,0,0,0,M,37.16769,14.7722,0,668,OK, not flowering,,,
P0016,ITA,2,1,2,2,1,1,0,0,NA,20,5,Etna,37.68949,15.09558,723,19.8,60.6,18.8,4.11,200,ITA,PA0101,0,0,0,M,37.68949,15.09558,0,723,"small plant with a bit reddish leaves, just started flowering. otherwise happy. growing on a black stone in a tiny bit of black soil.",,,,
P0016,ITA,2,1,2,2,1,1,0,0,NA,20,5,Etna,37.68949,15.09558,723,19.8,60.6,18.8,4.11,200,ITA,PA0098,0,0,0,M,37.68949,15.09558,0,723,"a bit dirty, but happy. maybe still vegetative? from the bottom of the hight stone wall, no soil to harvest",,,,
