Tour_ID	Site.ID	Site.name	Latitude	Longitude	Date	Time	Climate_classification	rndCoord.lon	rndCoord.lat
FRS	P0115	RAD	46.68193	4.08302	20180323	11:48	Cfb	4.25	46.75
FRS	P0116	CIRY	46.60396	4.29953	20180323	14:13	Cfb	4.25	46.75
FRN	P0145	LDV	48.51785	-4.06526	20180328	13:32	Cfb	-4.25	48.75
FRN	P0146	MOG	48.66685	-4.06705	20180328	16:40	Cfb	-4.25	48.75
FRN	P0147	CAM	48.2679	-4.58567	20180328	19:25	Cfb	-4.75	48.25
FRN	P0148	VNS	47.6455	-2.76859	20180329	12:22	Cfb	-2.75	47.75
FRN	P0149	NTS	47.21975	-1.53567	20180329	16:57	Cfb	-1.75	47.25
FRN	P0150	Ange1	47.4757	-0.55217	20180330	10:34	Cfb	-0.75	47.25
FRN	P0151	NNS	47.26093	-0.01284	20180330	13:36	Cfb	-0.25	47.25
FRN	P0152	BSO	48.61082	2.30889	20180331	16:05	Cfb	2.25	48.75
FRN	P0153	VSL	48.80611	2.16515	20180401	15:00	Cfb	2.25	48.75
FRN	P0154	Cuv	48.84444	2.35691	20180401	18:14	Cfb	2.25	48.75
FRN	P0155	VEZ	48.80338	3.46323	20180402	15:27	Cfb	3.25	48.75
FRN	P0156	CMP	48.96777	4.38613	20180402	19:24	Cfb	4.25	48.75
FRN	P0157	AVX	48.56088	7.50467	20180403	12:36	Cfb	7.75	48.75
SPC	P0097	VAE	42.1047	-5.44507	20180227	14:38	Csb	-5.25	42.25
SPC	P0098	CHO	40.5131	-3.89824	20180302	09:47	Csb	-3.75	40.75
SPC	P0100	LAM	40.56675	-3.88946	20180303	09:50	Csb	-3.75	40.75
SPC	P0101	INI	40.45935	-3.75122	20180301	13:55	Csa	-3.75	40.25
SPC	P0104	EES	40.58862	-4.14671	20180303	14:10	Csb	-4.25	40.75
SPC	P0105	LAS	40.56807	-4.15252	20180303	16:12	Csb	-4.25	40.75
SPC	P0109	CER	40.73706	-4.0691	20180304	11:51	Csb	-4.25	40.75
SPC	P0110	ESP	40.72716	-4.2752	20180304	14:17	Csb	-4.25	40.75
SPC	P0111	LAB	40.86933	-4.4965	20180304	16:53	Csb	-4.25	40.75
CSA	P0076	Rab	48.21421	13.5169	20180416	09:54	Cfb	13.75	48.25
CSA	P0077	Atze	48.19233	13.38843	20180416	12:38	Cfb	13.25	48.25
CSA	P0078	Guschl	48.35802	13.69857	20180416	15:58	Cfb	13.75	48.25
CSA	P0079	Puch1	48.32721	14.71513	20180417	10:10	Cfb	14.75	48.25
CSA	P0080	OOE	48.33206	14.71574	20180417	11:06	Cfb	14.75	48.25
CSA	P0081	Egel	48.4264	15.56996	20180417	16:15	Cfb	15.75	48.25
CSA	P0082	Udu	49.27724	16.63096	20180418	09:49	Cfb	16.75	49.25
CSA	P0083	Horska	49.30568	16.62312	20180418	11:04	Cfb	16.75	49.25
CSA	P0084	Draha	49.40779	16.27657	20180418	14:06	Cfb	16.25	49.25
CSA	P0085	Komo	49.50828	15.32867	20180418	16:59	Cfb	15.25	49.75
CSA	P0086	Tren	49.85931	13.83349	20180419	16:45	Cfb	13.75	49.75
CSA	P0087	Kra	49.98419	13.41716	20180420	10:42	Cfb	13.25	49.75
CSA	P0088	ULI	49.76256	13.10184	20180420	13:52	Cfb	13.25	49.75
BNE	P0089	Wagening	51.9669	5.66569	20180423	08:25	Cfb	5.75	51.75
BNE	P0090	Renkum	51.97493	5.7356	20180423	10:13	Cfb	5.75	51.75
BNE	P0091	Appeltern	51.83523	5.58604	20180423	12:06	Cfb	5.75	51.75
BNE	P0092	Eerschot	51.5744	5.46741	20180423	14:43	Cfb	5.25	51.75
BNE	P0093	Lille	51.2502	4.81116	20180423	17:10	Cfb	4.75	51.25
BNE	P0094	Haasdonk	51.16745	4.2268	20180424	10:21	Cfb	4.25	51.25
BNE	P0095	Ertvelde	51.16784	3.76163	20180424	12:13	Cfb	3.75	51.25
BNE	P0096	Nazareth	50.93634	3.62578	20180424	14:30	Cfb	3.75	50.75
BNE	P0188	Affligem	50.89959	4.12158	20180424	16:40	Cfb	4.25	50.75
BNE	P0189	Meerbeek	50.88866	4.60247	20180424	19:07	Cfb	4.75	50.75
BNE	P0190	Bommershoven	50.7892	5.37844	20180425	10:30	Cfb	5.25	50.75
BNE	P0191	Ang	50.29948	5.30176	20180425	12:58	Cfb	5.25	50.25
BNE	P0192	Rochefort	50.17861	5.22021	20180425	14:27	Cfb	5.25	50.25
BAL	P0169	Zloc	42.21926	24.16969	20180405	17:51	Cfb	24.25	42.25
BAL	P0170	Grivo	41.84129	25.75353	20180406	12:15	Cfa	25.75	41.75
BAL	P0171	Koren	41.82786	25.68699	20180406	14:13	Cfa	25.75	41.75
BAL	P0172	Sorbe	41.55437	25.74722	20180406	17:08	Cfa	25.75	41.75
BAL	P0173	Leska	41.53786	24.97745	20180407	12:55	Dfb	24.75	41.75
BAL	P0174	Sorbe2	41.67432	24.16228	20180408	12:35	Dfb	24.25	41.75
BAL	P0175	Dolen	41.61943	23.93737	20180408	14:32	Cfb	23.75	41.75
BAL	P0176	Baroto	41.57778	23.76864	20180408	16:18	Cfb	23.75	41.75
BAL	P0177	Sorbe3	41.58686	23.5561	20180409	11:30	Cfb	23.75	41.75
BAL	P0178	Melni1	41.53279	23.40075	20180409	13:20	Cfb	23.25	41.75
BAL	P0179	Zerev	41.85056	23.13283	20180410	10:41	Cfb	23.25	41.75
BAL	P0180	Dolna	42.32156	23.09941	20180410	12:32	Dfb	23.25	42.25
BAL	P0181	Por	43.40865	21.59418	20180412	1-:25	Cfb	21.75	43.25
BAL	P0182	Stero	44.30005	21.0794	20180412	13:14	Cfb	21.25	44.25
BAL	P0183	Zabar	44.37975	21.21955	20180412	14:57	Cfb	21.25	44.25
BAL	P0184	Sredn	44.65704	21.37022	20180413	09:30	Cfa	21.25	44.75
BAL	P0185	Zupan	45.06708	18.71792	20180415	11:04	Cfb	18.75	45.25
BAL	P0186	Gradi	45.16984	18.70019	20180415	12:46	Cfb	18.75	45.25
GEN	P0073	Einig	50.29125	7.26436	20180411	11:44	Cfb	7.25	50.25
GEN	P0074	Limburg	50.38839	8.06598	20180411	14:46	Cfb	8.25	50.25
GEN	P0075	Frankfurt	50.0905	8.56435	20180411	16:57	Cfb	8.75	50.25
GES	P0119	Goethe	48.52938	9.05863	20180410	09:39	Cfb	9.25	48.75
GEN	P0158	Moorfleet	53.49497	10.11113	20180415	08:50	Cfb	10.25	53.25
GEN	P0159	Matzlow	53.45987	11.66125	20180415	12:12	Cfb	11.75	53.25
GEN	P0160	Eiskeller	52.58358	13.13688	20180415	15:50	Cfb	13.25	52.75
GEN	P0161	DD-Frauenhofer	51.1011	13.77745	20180416	08:55	Cfb	13.75	51.25
GEN	P0162	Leipzig	51.35089	12.44002	20180416	12:55	Cfb	12.25	51.25
GEN	P0163	Jena	50.93334	11.57273	20180416	16:04	Cfb	11.75	50.75
GES	P0164	Wiesentheid	49.79628	10.34753	20180416	11:20	Cfb	10.25	49.75
GEN	P0165	Osnabr�_ck	52.30192	8.02299	20180505	12:10	Cfb	8.25	52.25
GEN	P0166	Ovelg̦nne	53.34189	8.42052	20180506	13:30	Cfb	8.25	53.25
