Tour_ID Site_ID Site_name Lat Long HpA_site Elevation Date Time Air_temp Air_hum Soil_temp Soil_hum Pop_size rndCoord.lon rndCoord.lat ClimateZ
SPB P0050 Cab 41.54554 2.39065 0 139 20180222 14:30 10.3 62.7 12.6 0.27 50 2.25 41.75 Cfb
SPB P0051 LL 41.5901 2.48788 0 311 20180222 14:30 8.5 62.1 10 2.48 500 2.25 41.75 Cfb
SPB P0052 Bla 41.68125 2.80026 1 52 20180223 9:35 7.4 56.1 6.9 -0.47 1000 2.75 41.75 Cfa
SPB P0053 Ts 41.72021 2.93283 0 2 20180223 13:22 20 32.7 21.8 -0.36 1000 2.75 41.75 Cfa
SPB P0054 pCB7 41.72473 2.92705 0 1 20180223 14:52 15.7 35.8 17.6 1.51 200 2.75 41.75 Cfa
SPB P0055 pCB21 41.72872 2.9077 1 13 20180223 16:25 15.2 43.6 13.6 1.13 100000 2.75 41.75 Cfa
SPB P0056 pCB0 41.81333 2.89628 0 131 20180224 10:00 7.4 68.5 0 5.3 100 2.75 41.75 Cfa
SPB P0057 pCB20 41.98849 2.76073 0 92 20180224 13:00 23.5 29.7 21.3 2.69 200 2.75 41.75 Cfa
SPB P0058 Mat 41.76004 2.69002 0 58 20180224 15:45 13.3 56.1 11.6 0.38 100 2.75 41.75 Cfa
SPB P0059 Sfb 41.78333 2.56798 0 257 20180224 17:39 9.7 63.5 9.8 2.14 20 2.75 41.75 Cfa
FRS P0060 MOU2 43.96732 4.23756 0 69 20180316 13:48 25.9 41.9 24.3 0.8 200 4.25 43.75 Csa
FRS P0061 Noz 43.97561 4.20833 1 94 20180316 16:03 25.4 37.1 24 5 1000 4.25 43.75 Csa
FRS P0062 Qui 43.91103 4.00467 0 88 20180317 12:58 19.7 37.5 19.2 10.08 100 4.25 43.75 Csa
FRS P0062 Qui 43.91103 4.00467 0 88 20180317 12:58 19.7 37.5 19.2 10.08 100 4.25 43.75 Csa
FRS P0062 Qui 43.91103 4.00467 0 88 20180317 12:58 19.7 37.5 19.2 10.08 100 4.25 43.75 Csa
FRS P0062 Qui 43.91103 4.00467 0 88 20180317 12:58 19.7 37.5 19.2 10.08 100 4.25 43.75 Csa
FRS P0063 LEC 43.8375435 4.0652455 0 125 20180317 16:05 19.5 39.7 22 3.08 500 4.25 43.75 Csa
FRS P0064 ISS 43.83829 3.70065 0 180 20180318 11:08 17 45.4 14.2 4.16 1000 3.75 43.75 Csa
FRS P0065 VED 43.56131 3.82113 0 27 20180318 15:15 17.1 47.1 18.2 3.16 1000 3.75 43.75 Csa
FRS P0066 Et 44.64323 2.56623 0 252 20180319 15:45 16.3 45.6 13.3 7.69 50 2.75 44.75 Cfb
FRS P0067 Ag 44.99942 1.30068 1 239 20180320 11:41 11.2 50.1 10.7 16.41 10000 1.25 44.75 Cfb
FRS P0068 CUR 45.00064 1.74917 1 132 20180320 15:19 22.6 29.5 24.9 16.9 50 1.75 45.25 Cfb
FRS P0069 ALL 45.26641 1.48244 0 258 20180320 17:59 11.7 36.1 14 8.46 500 1.25 45.25 Cfb
FRS P0071 FRS 45.19445 4.95468 0 233 20180321 17:27 12.8 26.3 12.9 6.72 50 4.75 45.25 Cfb
FRS P0072 ROM 45.53347 4.85027 0 266 20180322 12:48 14.1 32.3 23.5 7.26 50 4.75 45.75 Cfb
FRS P0114 PON 45.75071 4.71562 0 287 20180322 15:42 14.4 36  5.3 100 4.75 45.75 Cfb
FRS P0115 RAD 46.68193 4.08302 0 320 20180323 11:48 14 45.7 14.2 8.78 10 4.25 46.75 Cfb
FRS P0116 CIRY 46.60396 4.29953 0 268 20180323 14:13 12.9 52.7 14 11.36 500 4.25 46.75 Cfb
FRN P0145 LDV 48.51785 -4.06526 0 90 20180328 13:32 14.9 66.1 12.5 33.55 100 -4.25 48.75 Cfb
FRN P0146 MOG 48.66685 -4.06705 0 45 20180328 16:40 16 52.2 18 11.45 20 -4.25 48.75 Cfb
FRN P0147 CAM 48.2679 -4.58567 0 39 20180328 19:25 12.8 60.8 9.3 18.22 20 -4.75 48.25 Cfb
