Site_ID Long Lat rndCoord.lon rndCoord.lat ClimateZ
110 P0087 13.41716 49.98419 13.25 49.75 Cfb
111 P0088 13.10184 49.76256 13.25 49.75 Cfb
112 P0089 5.66569 51.9669 5.75 51.75 Cfb
113 P0090 5.7356 51.97493 5.75 51.75 Cfb
114 P0091 5.58604 51.83523 5.75 51.75 Cfb
115 P0092 5.46741 51.5744 5.25 51.75 Cfb
116 P0093 4.81116 51.2502 4.75 51.25 Cfb
117 P0094 4.2268 51.16745 4.25 51.25 Cfb
118 P0095 3.76163 51.16784 3.75 51.25 Cfb
119 P0096 3.62578 50.93634 3.75 50.75 Cfb
120 P0188 4.12158 50.89959 4.25 50.75 Cfb
121 P0189 4.60247 50.88866 4.75 50.75 Cfb
122 P0190 5.37844 50.7892 5.25 50.75 Cfb
123 P0191 5.30176 50.29948 5.25 50.25 Cfb
124 P0192 5.22021 50.17861 5.25 50.25 Cfb
125 P0169 24.16969 42.21926 24.25 42.25 Cfb
126 P0170 25.75353 41.84129 25.75 41.75 Cfa
127 P0171 25.68699 41.82786 25.75 41.75 Cfa
128 P0172 25.74722 41.55437 25.75 41.75 Cfa
129 P0173 24.97745 41.53786 24.75 41.75 Dfb
130 P0174 24.16228 41.67432 24.25 41.75 Dfb
131 P0175 23.93737 41.61943 23.75 41.75 Cfb
132 P0176 23.76864 41.57778 23.75 41.75 Cfb
133 P0177 23.5561 41.58686 23.75 41.75 Cfb
134 P0178 23.40075 41.53279 23.25 41.75 Cfb
135 P0179 23.13283 41.85056 23.25 41.75 Cfb
136 P0180 23.09941 42.32156 23.25 42.25 Dfb
137 P0181 21.59418 43.40865 21.75 43.25 Cfb
138 P0182 21.0794 44.30005 21.25 44.25 Cfb
139 P0183 21.21955 44.37975 21.25 44.25 Cfb
140 P0184 21.37022 44.65704 21.25 44.75 Cfa
141 P0185 18.71792 45.06708 18.75 45.25 Cfb
142 P0186 18.70019 45.16984 18.75 45.25 Cfb
143 P0073 7.26436 50.29125 7.25 50.25 Cfb
144 P0074 8.06598 50.38839 8.25 50.25 Cfb
145 P0075 8.56435 50.0905 8.75 50.25 Cfb
146 P0119 9.05863 48.52938 9.25 48.75 Cfb
147 P0158 10.11113 53.49497 10.25 53.25 Cfb
148 P0159 11.66125 53.45987 11.75 53.25 Cfb
149 P0160 13.13688 52.58358 13.25 52.75 Cfb
150 P0161 13.77745 51.1011 13.75 51.25 Cfb
151 P0162 12.44002 51.35089 12.25 51.25 Cfb
152 P0163 11.57273 50.93334 11.75 50.75 Cfb
153 P0164 10.34753 49.79628 10.25 49.75 Cfb
154 P0165 8.02299 52.30192 8.25 52.25 Cfb
155 P0166 8.42052 53.34189 8.25 53.25 Cfb
156 P0313 9.67837 51.5107 9.75 51.75 Cfb
157 P0121 -1.58047 52.3493 -1.75 52.25 Cfb
158 P0122 -2.1637 51.98942 -2.25 51.75 Cfb
159 P0123 -1.73753 51.99802 -1.75 51.75 Cfb
160 P0124 -3.10619 51.01181 -3.25 51.25 Cfb
161 P0125 -2.19835 51.0066 -2.25 51.25 Cfb
162 P0126 -1.98779 50.79885 -1.75 50.75 Cfb
163 P0127 -1.46641 51.01015 -1.25 51.25 Cfb
164 P0128 -0.47081 51.31384 -0.25 51.25 Cfb
165 P0129 0.40597 51.29502 0.25 51.25 Cfb
166 P0130 0.43776 51.29239 0.25 51.25 Cfb
167 P0131 0.53955 51.26886 0.75 51.25 Cfb
168 P0132 0.75432 51.17516 0.75 51.25 Cfb
169 P0133 0.97762 51.24568 0.75 51.25 Cfb
170 P0134 1.02029 51.25483 1.25 51.25 Cfb
171 P0135 0.93995 51.18385 0.75 51.25 Cfb
172 P0193 -6.130672 53.185585 -6.25 53.25 Cfb
173 P0194 -6.07541 52.99227 -6.25 52.75 Cfb
174 P0195 -6.29735 52.67437 -6.25 52.75 Cfb
175 P0196 -6.94348 52.39283 -6.75 52.25 Cfb
176 P0197 -7.10075 52.26638 -7.25 52.25 Cfb
177 P0198 -7.46801 52.13662 -7.25 52.25 Cfb
178 P0199 -7.63043 52.08537 -7.75 52.25 Cfb
179 P0202 -8.06358 52.44792 -8.25 52.25 Cfb
180 P0200 -7.9322 52.13976 -7.75 52.25 Cfb
181 P0201 -7.92707 52.37443 -7.75 52.25 Cfb
182 P0203 -8.55832 52.66856 -8.75 52.75 Cfb
183 P0204 -8.456731 52.812303 -8.25 52.75 Cfb
184 P0205 -8.5529 52.89413 -8.75 52.75 Cfb
185 P0206 -8.99243 52.83387 -8.75 52.75 Cfb
186 P0207 -8.33463 54.26488 -8.25 54.25 Cfb
187 P0236 -7.91368 53.92103 -7.75 53.75 Cfb
188 P0238 -7.60888 53.69478 -7.75 53.75 Cfb
189 P0239 -7.362371 53.995574 -7.25 53.75 Cfb
190 P0290 -9.37913 53.03812 -9.25 53.25 Cfb
191 P0237 -3.94606 56.12458 -3.75 56.25 Cfb
192 P0240 -3.72893 56.32973 -3.75 56.25 Cfb
193 P0241 -3.21213 56.40711 -3.25 56.25 Cfb
194 P0242 -2.75932 56.50444 -2.75 56.75 Cfb
195 P0243 -2.59091 57.02153 -2.75 57.25 Cfb
196 P0244 -2.87331 57.28711 -2.75 57.25 Cfb
197 P0245 -3.02025 57.32767 -3.25 57.25 Cfc
198 P0246 -3.13416 57.50316 -3.25 57.75 Cfb
199 P0247 -3.20886 57.52013 -3.25 57.75 Cfb
200  57.68499 NA 57.75 NA NA
201  NA NA NA NA NA
202 P0248 -2.77162 57.68685 -2.75 57.75 Cfb
203 P0255 -5.48587 57.40237 -5.25 57.25 Cfc
204 P0249 -2.3748 57.66273 -2.25 57.75 Cfb
205 P0250 -3.56683 57.63403 -3.75 57.75 Cfb
206 P0251 -4.25831 57.51213 -4.25 57.75 Cfb
207 P0252 -4.42132 57.59487 -4.25 57.75 Cfb
208 P0253 -5.16396 57.89675 -5.25 57.75 Cfb
209 P0254 -4.91435 57.61001 -4.75 57.75 Cfc
210 P0257 -6.37755 57.58667 -6.25 57.75 Cfb
211 P0258 -5.72571 57.27356 -5.75 57.25 Cfb
212 P0256 -6.58516 57.44731 -6.75 57.25 Cfb
213 P0259 -6.19551 57.41306 -6.25 57.25 Cfb
214 P0260 -5.90471 57.24124 -5.75 57.25 Cfb
215 P0261 -4.78817 57.07049 -4.75 57.25 Cfc
216 P0262 -5.10465 56.81467 -5.25 56.75 Cfc
217 P0263 -5.01171 56.6697 -5.25 56.75 Cfc
218 P0264 -5.38186 56.57278 -5.25 56.75 Cfc
219 P0361 -5.23618 56.42869 -5.25 56.25 Cfb
220 P0362 -4.3345 55.91952 -4.25 55.75 Cfb
221 P0411 -5.07286 56.23745 -5.25 56.25 Cfb
222 P0412 -4.37275 56.04442 -4.25 56.25 Cfb
223 P0136 -3.69683 53.29245 -3.75 53.25 Cfb
224 P0137 -3.80547 53.09408 -3.75 53.25 Cfb
225 P0138 -3.30541 53.11388 -3.25 53.25 Cfb
226 P0139 -3.05634 52.93189 -3.25 52.75 Cfb
227 P0140 -1.30914 52.9376 -1.25 52.75 Cfb
228 P0141 -1.15283 52.97068 -1.25 52.75 Cfb
229 P0142 -0.95371 53.0771 -0.75 53.25 Cfb
230 P0143 -1.67419 53.21505 -1.75 53.25 Cfb
231 P0144 -1.52196 54.13288 -1.75 54.25 Cfb
232 P0217 -2.27695 54.0691 -2.25 54.25 Cfb
233 P0218 -2.90755 54.37309 -2.75 54.25 Cfb
234 P0219 -2.96201 54.42704 -2.75 54.25 Cfb
235 P0220 -3.01655 54.4543 -3.25 54.25 Cfb
236 P0221 -3.13684 54.60192 -3.25 54.75 Cfb
237 P0222 -2.75662 54.66228 -2.75 54.75 Cfb
238 P0223 -2.44087 54.81207 -2.25 54.75 Cfb
239 P0224 -2.36397 54.99167 -2.25 54.75 Cfb
240 P0225 -2.12989 54.97908 -2.25 54.75 Cfb
241 P0226 -1.43359 55.01078 -1.25 55.25 Cfb
242 P0227 -1.9606 55.16567 -1.75 55.25 Cfb
243 P0228 -2.55439 55.4767 -2.75 55.25 Cfb
244 P0229 -2.31209 55.78159 -2.25 55.75 Cfb
245 P0230 -3.1586 55.94075 -3.25 55.75 Cfb
246 P0231 -3.22198 55.9538 -3.25 55.75 Cfb
247 P0265 13.22014 55.71021 13.25 55.75 Cfb
248 P0266 13.1959 55.70496 13.25 55.75 Cfb
249 P0267 13.04138 55.75142 13.25 55.75 Cfb
250 P0268 13.1225 55.79369 13.25 55.75 Cfb
251 P0269 13.42023 55.67777 13.25 55.75 Cfb
252 P0270 14.15341 55.773 14.25 55.75 Cfb
253 P0271 14.16774 55.69422 14.25 55.75 Cfb
254 P0272 14.33291 55.57917 14.25 55.75 Cfb
255 P0273 14.30316 56.05585 14.25 56.25 Cfb
256 P0274 14.04852 56.08969 14.25 56.25 Cfb
257 P0275 16.03761 56.31554 16.25 56.25 Cfb
258 P0276 16.51431 56.70039 16.75 56.75 Cfb
259 P0277 16.4053 56.95902 16.25 56.75 Cfb
260 P0278 15.56853 57.40886 15.75 57.25 Cfb
261 P0279 14.80439 57.65104 14.75 57.75 Dfb
262 P0280 15.00652 58.1834 15.25 58.25 Dfb
263 P0281 15.12591 58.29046 15.25 58.25 Dfb
264 P0282 14.9585 58.82053 14.75 58.75 Dfb
265 P0283 16.80225 59.43196 16.75 59.25 Dfb
266 P0284 16.06748 59.43111 16.25 59.25 Dfb
267 P0285 17.58582 59.78614 17.75 59.75 Dfb
268 P0314 -5.49208 43.36351 -5.25 43.25 Cfb
269 P0286 -3.31109 42.36998 -3.25 42.25 Cfb
270 P0287 -3.04601 42.25175 -3.25 42.25 Cfb
271 P0288 -2.99682 42.34595 -2.75 42.25 Cfb
272 P0318 -2.6305 43.04904 -2.75 43.25 Cfb
273 P0319 -2.40631 42.67566 -2.25 42.75 Cfb
274 P0321 -1.27912 42.94018 -1.25 42.75 Cfb
275 P0322 -0.23257 42.76025 -0.25 42.75 Cfb
276 P0323 0.84544 42.52023 0.75 42.75 Cfb
277 P0324 0.69566 42.46507 0.75 42.25 Cfb
278 P0325 0.69144 42.78327 0.75 42.75 Cfb
279 P0326 1.32274 42.41254 1.25 42.25 Cfb
280 P0327 1.40327 42.34523 1.25 42.25 Cfb
281 P0328 1.72595 42.38002 1.75 42.25 Cfb
282 P0329 1.72462 42.37877 1.75 42.25 Cfb
283 P0363 17.67551 62.62647 17.75 62.75 Dfc
284 P0364 17.73273 62.63792 17.75 62.75 Dfc
285 P0365 17.89834 62.79208 17.75 62.75 Dfc
286 P0366 18.31932 63.06645 18.25 63.25 Dfc
287 P0367 18.31755 63.0163 18.25 63.25 Dfc
288 P0368 18.34079 62.95647 18.25 62.75 Dfc
289 P0369 18.38055 62.91837 18.25 62.75 Dfc
290 P0370 18.40421 62.9151 18.25 62.75 Dfc
291 P0371 18.36596 62.89608 18.25 62.75 Dfc
292 P0372 18.44764 62.87939 18.25 62.75 Dfc
293 P0167 18.33769 62.86268 18.25 62.75 Dfc
294 P0168 18.17542 62.8755 18.25 62.75 Dfc
295 P0375 18.075546 62.80042 18.25 62.75 Dfc
