Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1569.P237.SCO	PA1569.P237.SCO	SCO	P0237	PA1569	NA	NA	NA	SOIL		56.12458	-3.94606	NA	NA	-3.75	56.25	Cfb	120
PA1573.P237.SCO	PA1573.P237.SCO	SCO	P0237	PA1573	NA	NA	NA	SOIL		56.12458	-3.94606	NA	NA	-3.75	56.25	Cfb	20
PA1576.P240.SCO	PA1576.P240.SCO	SCO	P0240	PA1576	NA	NA	NA	SOIL		56.32973	-3.72893	NA	NA	-3.75	56.25	Cfb	20
PA1580.P240.SCO	PA1580.P240.SCO	SCO	P0240	PA1580	NA	NA	NA	SOIL		56.32973	-3.72893	NA	NA	-3.75	56.25	Cfb	14
PA1583.P241.SCO	PA1583.P241.SCO	SCO	P0241	PA1583	NA	NA	NA	SOIL		56.40711	-3.21213	NA	NA	-3.25	56.25	Cfb	14
PA1586.P241.SCO	PA1586.P241.SCO	SCO	P0241	PA1586	NA	NA	NA	SOIL		56.40711	-3.21213	NA	NA	-3.25	56.25	Cfb	50
PA1588.P242.SCO	PA1588.P242.SCO	SCO	P0242	PA1588	NA	NA	NA	SOIL		56.50444	-2.75932	NA	NA	-2.75	56.75	Cfb	50
PA1591.P242.SCO	PA1591.P242.SCO	SCO	P0242	PA1591	NA	NA	NA	SOIL		56.50444	-2.75932	NA	NA	-2.75	56.75	Cfb	50
PA1595.P243.SCO	PA1595.P243.SCO	SCO	P0243	PA1595	NA	NA	NA	SOIL		57.02153	-2.59091	NA	NA	-2.75	57.25	Cfb	50
PA1597.P243.SCO	PA1597.P243.SCO	SCO	P0243	PA1597	NA	NA	NA	SOIL		57.02153	-2.59091	NA	NA	-2.75	57.25	Cfb	20
PA1600.P244.SCO	PA1600.P244.SCO	SCO	P0244	PA1600	NA	NA	NA	SOIL		57.28711	-2.87331	NA	NA	-2.75	57.25	Cfb	20
PA1604.P244.SCO	PA1604.P244.SCO	SCO	P0244	PA1604	NA	NA	NA	SOIL		57.28711	-2.87331	NA	NA	-2.75	57.25	Cfb	210
PA1606.P245.SCO	PA1606.P245.SCO	SCO	P0245	PA1606	NA	NA	NA	SOIL		57.32767	-3.02025	NA	NA	-3.25	57.25	Cfc	210
PA1610.P246.SCO	PA1610.P246.SCO	SCO	P0246	PA1610	NA	NA	NA	SOIL		57.50316	-3.13416	NA	NA	-3.25	57.75	Cfb	50
PA1611.P247.SCO	PA1611.P247.SCO	SCO	P0247	PA1611	NA	NA	NA	SOIL		57.52013	-3.20886	NA	NA	-3.25	57.75	Cfb	50
PA1612.P247.SCO	PA1612.P247.SCO	SCO	P0247	PA1612	NA	NA	NA	SOIL		57.51982	-3.20906	NA	NA	-3.25	57.75	Cfb	100
PA1617.P248.SCO	PA1617.P248.SCO	SCO	P0248	PA1617	NA	NA	NA	SOIL		57.68685	-2.77162	NA	NA	-2.75	57.75	Cfb	100
PA1624.P249.SCO	PA1624.P249.SCO	SCO	P0249	PA1624	NA	NA	NA	SOIL		57.66273	-2.3748	NA	NA	-2.25	57.75	Cfb	70
PA1627.P249.SCO	PA1627.P249.SCO	SCO	P0249	PA1627	NA	NA	NA	SOIL		57.66273	-2.3748	NA	NA	-2.25	57.75	Cfb	70
PA1630.P250.SCO	PA1630.P250.SCO	SCO	P0250	PA1630	NA	NA	NA	SOIL		57.63403	-3.56683	NA	NA	-3.75	57.75	Cfb	50
PA1634.P250.SCO	PA1634.P250.SCO	SCO	P0250	PA1634	NA	NA	NA	SOIL		57.63403	-3.56683	NA	NA	-3.75	57.75	Cfb	50
PA1637.P251.SCO	PA1637.P251.SCO	SCO	P0251	PA1637	NA	NA	NA	SOIL		57.51213	-4.25831	NA	NA	-4.25	57.75	Cfb	14
PA1639.P251.SCO	PA1639.P251.SCO	SCO	P0251	PA1639	NA	NA	NA	SOIL		57.51213	-4.25831	NA	NA	-4.25	57.75	Cfb	14
PA1644.P252.SCO	PA1644.P252.SCO	SCO	P0252	PA1644	NA	NA	NA	SOIL		57.59487	-4.42132	NA	NA	-4.25	57.75	Cfb	30
PA1646.P252.SCO	PA1646.P252.SCO	SCO	P0252	PA1646	NA	NA	NA	SOIL		57.59487	-4.42132	NA	NA	-4.25	57.75	Cfb	30
PA1651.P253.SCO	PA1651.P253.SCO	SCO	P0253	PA1651	NA	NA	NA	SOIL		57.89675	-5.16396	NA	NA	-5.25	57.75	Cfb	14
PA1652.P253.SCO	PA1652.P253.SCO	SCO	P0253	PA1652	NA	NA	NA	SOIL		57.89675	-5.16396	NA	NA	-5.25	57.75	Cfb	50
PA1656.P254.SCO	PA1656.P254.SCO	SCO	P0254	PA1656	NA	NA	NA	SOIL		57.61001	-4.91435	NA	NA	-4.75	57.75	Cfc	50
PA1656.P254.SCO_rep	PA1656.P254.SCO_rep	SCO	P0254	PA1656	NA	NA	NA	SOIL		57.61001	-4.91435	NA	NA	-4.75	57.75	Cfc	14
PA1659.P257.SCO	PA1659.P257.SCO	SCO	P0257	PA1659	NA	NA	NA	SOIL		57.58667	-6.37755	NA	NA	-6.25	57.75	Cfb	14
PA1664.P257.SCO	PA1664.P257.SCO	SCO	P0257	PA1664	NA	NA	NA	SOIL		57.58667	-6.37755	NA	NA	-6.25	57.75	Cfb	50
PA1685.P260.SCO	PA1685.P260.SCO	SCO	P0260	PA1685	NA	NA	NA	SOIL		57.24124	-5.90471	NA	NA	-5.75	57.25	Cfb	50
PA1687.P260.SCO	PA1687.P260.SCO	SCO	P0260	PA1687	NA	NA	NA	SOIL		57.24124	-5.90471	NA	NA	-5.75	57.25	Cfb	190
PA1691.P261.SCO	PA1691.P261.SCO	SCO	P0261	PA1691	NA	NA	NA	SOIL		57.07049	-4.78817	NA	NA	-4.75	57.25	Cfc	190
PA1691.P261.SCO_rep	PA1691.P261.SCO_rep	SCO	P0261	PA1691	NA	NA	NA	SOIL		57.07049	-4.78817	NA	NA	-4.75	57.25	Cfc	190
PA1693.P261.SCO	PA1693.P261.SCO	SCO	P0261	PA1693	NA	NA	NA	SOIL		57.07049	-4.78817	NA	NA	-4.75	57.25	Cfc	190
PA1693.P261.SCO_rep	PA1693.P261.SCO_rep	SCO	P0261	PA1693	NA	NA	NA	SOIL		57.07049	-4.78817	NA	NA	-4.75	57.25	Cfc	190
PA1703.P263.SCO	PA1703.P263.SCO	SCO	P0263	PA1703	NA	NA	NA	SOIL		56.6697	-5.01171	NA	NA	-5.25	56.75	Cfc	190
PA1707.P264.SCO	PA1707.P264.SCO	SCO	P0264	PA1707	NA	NA	NA	SOIL		56.57278	-5.38186	NA	NA	-5.25	56.75	Cfc	14
PA1708.P264.SCO	PA1708.P264.SCO	SCO	P0264	PA1708	NA	NA	NA	SOIL		56.57278	-5.38186	NA	NA	-5.25	56.75	Cfc	14
PA1714.P361.SCO	PA1714.P361.SCO	SCO	P0361	PA1714	NA	NA	NA	SOIL		56.42869	-5.23618	NA	NA	-5.25	56.25	Cfb	190
PA1714.P361.SCO_rep	PA1714.P361.SCO_rep	SCO	P0361	PA1714	NA	NA	NA	SOIL		56.42869	-5.23618	NA	NA	-5.25	56.25	Cfb	190
PA1718.P361.SCO	PA1718.P361.SCO	SCO	P0361	PA1718	NA	NA	NA	SOIL		56.42869	-5.23618	NA	NA	-5.25	56.25	Cfb	190
PA1722.P362.SCO	PA1722.P362.SCO	SCO	P0362	PA1722	NA	NA	NA	SOIL		55.91952	-4.3345	NA	NA	-4.25	55.75	Cfb	190
PA1724.P362.SCO	PA1724.P362.SCO	SCO	P0362	PA1724	NA	NA	NA	SOIL		55.91952	-4.3345	NA	NA	-4.25	55.75	Cfb	190
PA1727.P411.SCO	PA1727.P411.SCO	SCO	P0411	PA1727	NA	NA	NA	SOIL		56.23745	-5.07286	NA	NA	-5.25	56.25	Cfb	190
PA1727.P411.SCO_rep	PA1727.P411.SCO_rep	SCO	P0411	PA1727	NA	NA	NA	SOIL		56.23745	-5.07286	NA	NA	-5.25	56.25	Cfb	14
PA1728.P411.SCO	PA1728.P411.SCO	SCO	P0411	PA1728	NA	NA	NA	SOIL		56.23745	-5.07286	NA	NA	-5.25	56.25	Cfb	14
PA1728.P411.SCO_rep	PA1728.P411.SCO_rep	SCO	P0411	PA1728	NA	NA	NA	SOIL		56.23745	-5.07286	NA	NA	-5.25	56.25	Cfb	14
PA1732.P412.SCO	PA1732.P412.SCO	SCO	P0412	PA1732	NA	NA	NA	SOIL		56.04442	-4.37275	NA	NA	-4.25	56.25	Cfb	14
PA1734.P412.SCO	PA1734.P412.SCO	SCO	P0412	PA1734	NA	NA	NA	SOIL		56.04442	-4.37275	NA	NA	-4.25	56.25	Cfb	190
PA1734.P412.SCO_rep	PA1734.P412.SCO_rep	SCO	P0412	PA1734	NA	NA	NA	SOIL		56.04442	-4.37275	NA	NA	-4.25	56.25	Cfb	190
PA1749.P319.SPN	PA1749.P319.SPN	SPN	P0319	PA1749s	NA	NA	NA	SOIL		42.67527	-2.4058	NA	NA	-2.25	42.75	Cfb	190
PA1752.P236.IRE	PA1752.P236.IRE	IRE	P0236	PA1752i	NA	NA	NA	SOIL		53.92103	-7.91368	NA	NA	-7.75	53.75	Cfb	190
PA1753.P236.IRE	PA1753.P236.IRE	IRE	P0236	PA1753i	NA	NA	NA	SOIL		53.92103	-7.91368	NA	NA	-7.75	53.75	Cfb	14
PA1753.P321.SPN	PA1753.P321.SPN	SPN	P0321	PA1753s	NA	NA	NA	SOIL		42.94014	-1.27913	NA	NA	-1.25	42.75	Cfb	14
PA1755.P238.IRE	PA1755.P238.IRE	IRE	P0238	PA1755i	NA	NA	NA	SOIL		53.69478	-7.60888	NA	NA	-7.75	53.75	Cfb	120
PA1756.P238.IRE	PA1756.P238.IRE	NA	NA	PA1756i	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	14
PA1756.P321.SPN	PA1756.P321.SPN	SPN	P0321	PA1756s	NA	NA	NA	SOIL		42.94024	-1.27882	NA	NA	-1.25	42.75	Cfb	14
PA1757.P321.SPN	PA1757.P321.SPN	NA	NA	PA1757s	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	50
PA1761.P239.IRE	PA1761.P239.IRE	NA	NA	PA1761i	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	20
PA1761.P322.SPN	PA1761.P322.SPN	SPN	P0322	PA1761s	NA	NA	NA	SOIL		42.76025	-0.23257	NA	NA	-0.25	42.75	Cfb	20
PA1765.P239.IRE	PA1765.P239.IRE	IRE	P0239	PA1765i	NA	NA	NA	SOIL		53.99572	-7.36269	NA	NA	-7.25	53.75	Cfb	20
PA1766.P239.IRE	PA1766.P239.IRE	IRE	P0239	PA1766i	NA	NA	NA	SOIL		53.99572	-7.36269	NA	NA	-7.25	53.75	Cfb	20
PA1767.P323.SPN	PA1767.P323.SPN	SPN	P0323	PA1767	NA	NA	NA	SOIL		42.5202	0.8454	NA	NA	0.75	42.75	Cfb	14
PA1768.P324.SPN	PA1768.P324.SPN	SPN	P0324	PA1768	NA	NA	NA	SOIL		42.46507	0.69566	NA	NA	0.75	42.25	Cfb	20
PA1772.P324.SPN	PA1772.P324.SPN	SPN	P0324	PA1772	NA	NA	NA	SOIL		42.46507	0.69566	NA	NA	0.75	42.25	Cfb	20
PA1776.P325.SPN	PA1776.P325.SPN	SPN	P0325	PA1776	NA	NA	NA	SOIL		42.78327	0.69144	NA	NA	0.75	42.75	Cfb	20
PA1777.P326.SPN	PA1777.P326.SPN	SPN	P0326	PA1777	NA	NA	NA	SOIL		42.41257	1.32268	NA	NA	1.25	42.25	Cfb	20
PA1781.P326.SPN	PA1781.P326.SPN	SPN	P0326	PA1781	NA	NA	NA	SOIL		42.40849	1.32465	NA	NA	1.25	42.25	Cfb	50
PA1785.P327.SPN	PA1785.P327.SPN	SPN	P0327	PA1785	NA	NA	NA	SOIL		42.34521	1.40327	NA	NA	1.25	42.25	Cfb	50
PA1786.P327.SPN	PA1786.P327.SPN	SPN	P0327	PA1786	NA	NA	NA	SOIL		42.34524	1.40328	NA	NA	1.25	42.25	Cfb	50
PA1791.P328.SPN	PA1791.P328.SPN	SPN	P0328	PA1791	NA	NA	NA	SOIL		42.38007	1.72598	NA	NA	1.75	42.25	Cfb	20
PA601.P145.FRN	PA601.P145.FRN	FRN	P0145	PA0601	NA	NA	NA	SOIL		48.51785	-4.06526	NA	NA	-4.25	48.75	Cfb	20
PA603.P145.FRN	PA603.P145.FRN	FRN	P0145	PA0603	NA	NA	NA	SOIL		48.51785	-4.06526	NA	NA	-4.25	48.75	Cfb	20
PA607.P146.FRN	PA607.P146.FRN	FRN	P0146	PA0607	NA	NA	NA	SOIL		48.66685	-4.06705	NA	NA	-4.25	48.75	Cfb	20
PA610.P146.FRN	PA610.P146.FRN	FRN	P0146	PA0610	NA	NA	NA	SOIL		48.66624	-4.06754	NA	NA	-4.25	48.75	Cfb	70
PA613.P147.FRN	PA613.P147.FRN	FRN	P0147	PA0613	NA	NA	NA	SOIL		48.2679	-4.58567	NA	NA	-4.75	48.25	Cfb	70
PA616.P147.FRN	PA616.P147.FRN	FRN	P0147	PA0616	NA	NA	NA	SOIL		48.2679	-4.58567	NA	NA	-4.75	48.25	Cfb	70
PA619.P148.FRN	PA619.P148.FRN	FRN	P0148	PA0619	NA	NA	NA	SOIL		47.6455	-2.76859	NA	NA	-2.75	47.75	Cfb	70
PA628.P149.FRN	PA628.P149.FRN	FRN	P0149	PA0628	NA	NA	NA	SOIL		47.21975	-1.53567	NA	NA	-1.75	47.25	Cfb	14
PA628.P149.FRN_rep	PA628.P149.FRN_rep	FRN	P0149	PA0628	NA	NA	NA	SOIL		47.21975	-1.53567	NA	NA	-1.75	47.25	Cfb	14
PA635.P150.FRN	PA635.P150.FRN	FRN	P0150	PA0635	NA	NA	NA	SOIL		47.4757	-0.55217	NA	NA	-0.75	47.25	Cfb	14
PA636.P150.FRN	PA636.P150.FRN	FRN	P0150	PA0636	NA	NA	NA	SOIL		47.4757	-0.55217	NA	NA	-0.75	47.25	Cfb	14
PA641.P151.FRN	PA641.P151.FRN	FRN	P0151	PA0641	NA	NA	NA	SOIL		47.26093	-0.01284	NA	NA	-0.25	47.25	Cfb	20
PA648.P151.FRN	PA648.P151.FRN	FRN	P0151	PA0648	NA	NA	NA	SOIL		47.26093	-0.01284	NA	NA	-0.25	47.25	Cfb	20
PA655.P153.FRN	PA655.P153.FRN	FRN	P0153	PA0655	NA	NA	NA	SOIL		48.80611	2.16515	NA	NA	2.25	48.75	Cfb	20
PA656.P153.FRN	PA656.P153.FRN	FRN	P0153	PA0656	NA	NA	NA	SOIL		48.80611	2.16515	NA	NA	2.25	48.75	Cfb	20
PA663.P154.FRN	PA663.P154.FRN	FRN	P0154	PA0663	NA	NA	NA	SOIL		48.84444	2.35691	NA	NA	2.25	48.75	Cfb	50
PA664.P154.FRN	PA664.P154.FRN	FRN	P0154	PA0664	NA	NA	NA	SOIL		48.84444	2.35691	NA	NA	2.25	48.75	Cfb	50
PA669.P155.FRN	PA669.P155.FRN	FRN	P0155	PA0669	NA	NA	NA	SOIL		48.80338	3.46323	NA	NA	3.25	48.75	Cfb	50
PA672.P156.FRN	PA672.P156.FRN	FRN	P0156	PA0672	NA	NA	NA	SOIL		48.96777	4.38613	NA	NA	4.25	48.75	Cfb	50
PA675.P157.FRN	PA675.P157.FRN	FRN	P0157	PA0675	NA	NA	NA	SOIL		48.56088	7.50467	NA	NA	7.75	48.75	Cfb	130
PS0282.P060.FRS	PS0282.P060.FRS	FRS	P0060	PA0282	NA	NA	NA	SOIL		43.96732	4.23756	NA	NA	4.25	43.75	Csa	130
PS0283.P060.FRS	PS0283.P060.FRS	FRS	P0060	PA0283	NA	NA	NA	SOIL		43.96732	4.23756	NA	NA	4.25	43.75	Csa	130
PS0285.P061.FRS	PS0285.P061.FRS	FRS	P0061	PA0285	NA	NA	NA	SOIL		43.97561	4.20833	NA	NA	4.25	43.75	Csa	130
PS0290.P061.FRS	PS0290.P061.FRS	FRS	P0061	PA0290	NA	NA	NA	SOIL		43.97561	4.20833	NA	NA	4.25	43.75	Csa	50
PS0291.P062.FRS	PS0291.P062.FRS	FRS	P0062	PA0291	NA	NA	NA	SOIL		43.91103	4.00467	NA	NA	4.25	43.75	Csa	50
PS0292.P062.FRS	PS0292.P062.FRS	FRS	P0062	PA0292	NA	NA	NA	SOIL		43.91103	4.00467	NA	NA	4.25	43.75	Csa	50
PS0295.P063.FRS	PS0295.P063.FRS	FRS	P0063	PA0295	NA	NA	NA	SOIL		43.84925	4.02346	NA	NA	4.25	43.75	Csa	120
PS0300.P064.FRS	PS0300.P064.FRS	FRS	P0064	PA0300	NA	NA	NA	SOIL		43.83829	3.70065	NA	NA	3.75	43.75	Csa	120
PS0302.P064.FRS	PS0302.P064.FRS	FRS	P0064	PA0302	NA	NA	NA	SOIL		43.83829	3.70065	NA	NA	3.75	43.75	Csa	14
PS0303.P065.FRS	PS0303.P065.FRS	FRS	P0065	PA0303	NA	NA	NA	SOIL		43.56131	3.82113	NA	NA	3.75	43.75	Csa	14
PS0303.P065.FRS_rep	PS0303.P065.FRS_rep	FRS	P0065	PA0303	NA	NA	NA	SOIL		43.56131	3.82113	NA	NA	3.75	43.75	Csa	30
PS0305.P065.FRS	PS0305.P065.FRS	FRS	P0065	PA0305	NA	NA	NA	SOIL		43.56131	3.82113	NA	NA	3.75	43.75	Csa	14
PS0311.P066.FRS	PS0311.P066.FRS	FRS	P0066	PA0311	NA	NA	NA	SOIL		44.64323	2.56623	NA	NA	2.75	44.75	Cfb	14
PS0317.P067.FRS	PS0317.P067.FRS	FRS	P0067	PA0317	NA	NA	NA	SOIL		44.99942	1.30068	NA	NA	1.25	44.75	Cfb	14
PS0318.P067.FRS	PS0318.P067.FRS	FRS	P0067	PA0318	NA	NA	NA	SOIL		44.99942	1.30068	NA	NA	1.25	44.75	Cfb	150
PS0321.P068.FRS	PS0321.P068.FRS	FRS	P0068	PA0321	NA	NA	NA	SOIL		45.00064	1.74917	NA	NA	1.75	45.25	Cfb	150
PS0322.P068.FRS	PS0322.P068.FRS	FRS	P0068	PA0322	NA	NA	NA	SOIL		45.00064	1.74917	NA	NA	1.75	45.25	Cfb	100
PS0328.P069.FRS	PS0328.P069.FRS	FRS	P0069	PA0328	NA	NA	NA	SOIL		45.26641	1.48244	NA	NA	1.25	45.25	Cfb	100
PS0328.P069.FRS_rep	PS0328.P069.FRS_rep	FRS	P0069	PA0328	NA	NA	NA	SOIL		45.26641	1.48244	NA	NA	1.25	45.25	Cfb	190
PS0329.P069.FRS	PS0329.P069.FRS	FRS	P0069	PA0329	NA	NA	NA	SOIL		45.26641	1.48244	NA	NA	1.25	45.25	Cfb	190
PS0335.P071.FRS	PS0335.P071.FRS	FRS	P0071	PA0335	NA	NA	NA	SOIL		45.19445	4.95468	NA	NA	4.75	45.25	Cfb	190
PS0435.P072.FRS	PS0435.P072.FRS	FRS	P0072	PA0435	NA	NA	NA	SOIL		45.53347	4.85027	NA	NA	4.75	45.75	Cfb	190
PS0436.P072.FRS	PS0436.P072.FRS	FRS	P0072	PA0436	NA	NA	NA	SOIL		45.53347	4.85027	NA	NA	4.75	45.75	Cfb	30
PS0438.P114.FRS	PS0438.P114.FRS	FRS	P0114	PA0438	NA	NA	NA	SOIL		45.75071	4.71562	NA	NA	4.75	45.75	Cfb	30
PS0439.P114.FRS	PS0439.P114.FRS	FRS	P0114	PA0439	NA	NA	NA	SOIL		45.75071	4.71562	NA	NA	4.75	45.75	Cfb	14
PS0446.P115.FRS	PS0446.P115.FRS	FRS	P0115	PA0446	NA	NA	NA	SOIL		46.68193	4.08302	NA	NA	4.25	46.75	Cfb	14
PS0447.P116.FRS	PS0447.P116.FRS	FRS	P0116	PA0447	NA	NA	NA	SOIL		46.60396	4.29953	NA	NA	4.25	46.75	Cfb	14
PS0449.P116.FRS	PS0449.P116.FRS	FRS	P0116	PA0449	NA	NA	NA	SOIL		46.60396	4.29953	NA	NA	4.25	46.75	Cfb	14
PS0460.P119.GES	PS0460.P119.GES	GES	P0119	PA0460	NA	NA	NA	SOIL		48.52938	9.05863	NA	NA	9.25	48.75	Cfb	50
PS0462.P119.GES	PS0462.P119.GES	GES	P0119	PA0462	NA	NA	NA	SOIL		48.52938	9.05863	NA	NA	9.25	48.75	Cfb	50
PS0464.P073.GEN	PS0464.P073.GEN	GEN	P0073	PA0464	NA	NA	NA	SOIL		50.29125	7.26436	NA	NA	7.25	50.25	Cfb	20
PS0469.P073.GEN	PS0469.P073.GEN	GEN	P0073	PA0469	NA	NA	NA	SOIL		50.29125	7.26436	NA	NA	7.25	50.25	Cfb	20
PS0472.P074.GEN	PS0472.P074.GEN	GEN	P0074	PA0472	NA	NA	NA	SOIL		50.38839	8.06598	NA	NA	8.25	50.25	Cfb	210
PS0473.P074.GEN	PS0473.P074.GEN	GEN	P0074	PA0473	NA	NA	NA	SOIL		50.38839	8.06598	NA	NA	8.25	50.25	Cfb	210
PS0479.P075.GEN	PS0479.P075.GEN	GEN	P0075	PA0479	NA	NA	NA	SOIL		50.0905	8.56435	NA	NA	8.75	50.25	Cfb	210
PS0480.P075.GEN	PS0480.P075.GEN	GEN	P0075	PA0480	NA	NA	NA	SOIL		50.0905	8.56435	NA	NA	8.75	50.25	Cfb	210
PS0484.P160.GEN	PS0484.P160.GEN	GEN	P0160	PA0484	NA	NA	NA	SOIL		52.58358	13.13688	NA	NA	13.25	52.75	Cfb	14
PS0485.P160.GEN	PS0485.P160.GEN	GEN	P0160	PA0485	NA	NA	NA	SOIL		52.58358	13.13688	NA	NA	13.25	52.75	Cfb	14
PS0492.P159.GEN	PS0492.P159.GEN	GEN	P0159	PA0492	NA	NA	NA	SOIL		53.45987	11.66125	NA	NA	11.75	53.25	Cfb	14
PS0492.P159.GEN_rep	PS0492.P159.GEN_rep	GEN	P0159	PA0492	NA	NA	NA	SOIL		53.45987	11.66125	NA	NA	11.75	53.25	Cfb	14
PS0493.P159.GEN	PS0493.P159.GEN	GEN	P0159	PA0493	NA	NA	NA	SOIL		53.45987	11.66125	NA	NA	11.75	53.25	Cfb	11
PS0498.P076.CSA	PS0498.P076.CSA	CSA	P0076	PA0498	NA	NA	NA	SOIL		48.21421	13.5169	NA	NA	13.75	48.25	Cfb	14
PS0501.P076.CSA	PS0501.P076.CSA	CSA	P0076	PA0501	NA	NA	NA	SOIL		48.21421	13.5169	NA	NA	13.75	48.25	Cfb	14
PS0504.P077.CSA	PS0504.P077.CSA	CSA	P0077	PA0504	NA	NA	NA	SOIL		48.19236	13.38836	NA	NA	13.25	48.25	Cfb	20
PS0685.P077.CSA	PS0685.P077.CSA	CSA	P0077	PA0685	NA	NA	NA	SOIL		48.19236	13.38836	NA	NA	13.25	48.25	Cfb	20
PS0691.P078.CSA	PS0691.P078.CSA	CSA	P0078	PA0691	NA	NA	NA	SOIL		48.35802	13.69856	NA	NA	13.75	48.25	Cfb	20
PS0692.P078.CSA	PS0692.P078.CSA	CSA	P0078	PA0692	NA	NA	NA	SOIL		48.35801	13.69853	NA	NA	13.75	48.25	Cfb	20
PS0694.P079.CSA	PS0694.P079.CSA	CSA	P0079	PA0694	NA	NA	NA	SOIL		48.32721	14.71513	NA	NA	14.75	48.25	Cfb	100
PS0795.P158.GEN	PS0795.P158.GEN	GEN	P0158	PA0795	NA	NA	NA	SOIL		53.49497	10.11113	NA	NA	10.25	53.25	Cfb	100
PS0797.P158.GEN	PS0797.P158.GEN	GEN	P0158	PA0797	NA	NA	NA	SOIL		53.49497	10.11113	NA	NA	10.25	53.25	Cfb	120
PS0802.P161.GEN	PS0802.P161.GEN	GEN	P0161	PA0802	NA	NA	NA	SOIL		51.1011	13.77745	NA	NA	13.75	51.25	Cfb	120
PS0805.P161.GEN	PS0805.P161.GEN	GEN	P0161	PA0805	NA	NA	NA	SOIL		51.1011	13.77745	NA	NA	13.75	51.25	Cfb	50
PS0806.P162.GEN	PS0806.P162.GEN	GEN	P0162	PA0806	NA	NA	NA	SOIL		51.35089	12.44002	NA	NA	12.25	51.25	Cfb	50
PS0810.P162.GEN	PS0810.P162.GEN	GEN	P0162	PA0810	NA	NA	NA	SOIL		51.35089	12.44002	NA	NA	12.25	51.25	Cfb	50
PS0824.P164.GES	PS0824.P164.GES	NA	NA	PA0824	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	14
PS0825.P164.GES	PS0825.P164.GES	NA	NA	PA0825	NA	NA	NA	SOIL		NA	NA	NA	NA	NA	NA	NA	14
PS0881.P080.CSA	PS0881.P080.CSA	CSA	P0080	PA0881	NA	NA	NA	SOIL		48.33207	14.71572	NA	NA	14.75	48.25	Cfb	30
PS0889.P081.CSA	PS0889.P081.CSA	CSA	P0081	PA0889	NA	NA	NA	SOIL		48.42646	15.56987	NA	NA	15.75	48.25	Cfb	30
PS0890.P081.CSA	PS0890.P081.CSA	CSA	P0081	PA0890	NA	NA	NA	SOIL		48.42641	15.56995	NA	NA	15.75	48.25	Cfb	20
PS0895.P082.CSA	PS0895.P082.CSA	CSA	P0082	PA0895	NA	NA	NA	SOIL		49.27734	16.63	NA	NA	16.75	49.25	Cfb	20
PS0896.P082.CSA	PS0896.P082.CSA	CSA	P0082	PA0896	NA	NA	NA	SOIL		49.27725	16.63093	NA	NA	16.75	49.25	Cfb	50
PS0898.P083.CSA	PS0898.P083.CSA	CSA	P0083	PA0898	NA	NA	NA	SOIL		49.30572	16.6231	NA	NA	16.75	49.25	Cfb	50
PS0902.P084.CSA	PS0902.P084.CSA	CSA	P0084	PA0902	NA	NA	NA	SOIL		49.40778	16.27651	NA	NA	16.25	49.25	Cfb	14
PS0903.P084.CSA	PS0903.P084.CSA	CSA	P0084	PA0903	NA	NA	NA	SOIL		49.40779	16.27656	NA	NA	16.25	49.25	Cfb	14
PS0908.P085.CSA	PS0908.P085.CSA	CSA	P0085	PA0908	NA	NA	NA	SOIL		49.5083	15.32869	NA	NA	15.25	49.75	Cfb	30
PS0909.P085.CSA	PS0909.P085.CSA	CSA	P0085	PA0909	NA	NA	NA	SOIL		49.50829	15.32866	NA	NA	15.25	49.75	Cfb	30
PS0913.P086.CSA	PS0913.P086.CSA	CSA	P0086	PA0913	NA	NA	NA	SOIL		49.8593	13.83349	NA	NA	13.75	49.75	Cfb	50
PS0915.P086.CSA	PS0915.P086.CSA	CSA	P0086	PA0915	NA	NA	NA	SOIL		49.85926	13.83335	NA	NA	13.75	49.75	Cfb	50
PS0923.P087.CSA	PS0923.P087.CSA	CSA	P0087	PA0923	NA	NA	NA	SOIL		49.98418	13.41717	NA	NA	13.25	49.75	Cfb	14
PS0924.P087.CSA	PS0924.P087.CSA	CSA	P0087	PA0924	NA	NA	NA	SOIL		49.98421	13.41717	NA	NA	13.25	49.75	Cfb	14
PS0929.P088.CSA	PS0929.P088.CSA	CSA	P0088	PA0929	NA	NA	NA	SOIL		49.76263	13.1018	NA	NA	13.25	49.75	Cfb	190
PS0930.P088.CSA	PS0930.P088.CSA	CSA	P0088	PA0930	NA	NA	NA	SOIL		49.76264	13.10176	NA	NA	13.25	49.75	Cfb	190
PS0950.P121.ENS	PS0950.P121.ENS	ENS	P0121	PA0950	NA	NA	NA	SOIL		52.3493	-1.58047	NA	NA	-1.75	52.25	Cfb	110
PS0951.P121.ENS	PS0951.P121.ENS	ENS	P0121	PA0951	NA	NA	NA	SOIL		52.3493	-1.58047	NA	NA	-1.75	52.25	Cfb	110
