Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1043.P136.ENN	PA1043.P136.ENN	ENN	P0136	PA1043	NA	NA	NA	SOIL		53.29245	-3.69683	NA	NA	-3.75	53.25	Cfb	20
PA1045.P136.ENN	PA1045.P136.ENN	ENN	P0136	PA1045	NA	NA	NA	SOIL		53.29245	-3.69683	NA	NA	-3.75	53.25	Cfb	20
PA1049.P137.ENN	PA1049.P137.ENN	ENN	P0137	PA1049	NA	NA	NA	SOIL		53.09408	-3.80547	NA	NA	-3.75	53.25	Cfb	50
PA1050.P137.ENN	PA1050.P137.ENN	ENN	P0137	PA1050	NA	NA	NA	SOIL		53.09408	-3.80547	NA	NA	-3.75	53.25	Cfb	50
PA1050.P137.ENN_rep	PA1050.P137.ENN_rep	ENN	P0137	PA1050	NA	NA	NA	SOIL		53.09408	-3.80547	NA	NA	-3.75	53.25	Cfb	50
PA1056.P138.ENN	PA1056.P138.ENN	ENN	P0138	PA1056	NA	NA	NA	SOIL		53.11388	-3.30541	NA	NA	-3.25	53.25	Cfb	50
PA1064.P139.ENN	PA1064.P139.ENN	ENN	P0139	PA1064	NA	NA	NA	SOIL		52.93189	-3.05634	NA	NA	-3.25	52.75	Cfb	30
PA1064.P139.ENN_rep	PA1064.P139.ENN_rep	ENN	P0139	PA1064	NA	NA	NA	SOIL		52.93189	-3.05634	NA	NA	-3.25	52.75	Cfb	30
PA1065.P139.ENN	PA1065.P139.ENN	ENN	P0139	PA1065	NA	NA	NA	SOIL		52.93189	-3.05634	NA	NA	-3.25	52.75	Cfb	50
PA1067.P140.ENN	PA1067.P140.ENN	ENN	P0140	PA1067	NA	NA	NA	SOIL		52.9376	-1.30914	NA	NA	-1.25	52.75	Cfb	50
PA1080.P142.ENN	PA1080.P142.ENN	ENN	P0142	PA1080	NA	NA	NA	SOIL		53.0771	-0.95371	NA	NA	-0.75	53.25	Cfb	20
PA1117.P193.IRE	PA1117.P193.IRE	IRE	P0193	PA1117	NA	NA	NA	SOIL		53.18549	-6.13059	NA	NA	-6.25	53.25	Cfb	20
PA1119.P193.IRE	PA1119.P193.IRE	IRE	P0193	PA1119	NA	NA	NA	SOIL		53.18549	-6.13059	NA	NA	-6.25	53.25	Cfb	100
PA1126.P194.IRE	PA1126.P194.IRE	IRE	P0194	PA1126	NA	NA	NA	SOIL		52.99227	-6.07541	NA	NA	-6.25	52.75	Cfb	100
PA1127.P194.IRE	PA1127.P194.IRE	IRE	P0194	PA1127	NA	NA	NA	SOIL		52.99227	-6.07541	NA	NA	-6.25	52.75	Cfb	20
PA1141.P217.ENN	PA1141.P217.ENN	ENN	P0217	PA1141	NA	NA	NA	SOIL		54.0691	-2.27695	NA	NA	-2.25	54.25	Cfb	20
PA1141.P217.ENN_rep	PA1141.P217.ENN_rep	ENN	P0217	PA1141	NA	NA	NA	SOIL		54.0691	-2.27695	NA	NA	-2.25	54.25	Cfb	20
PA1168.P222.ENN	PA1168.P222.ENN	ENN	P0222	PA1168	NA	NA	NA	SOIL		54.66228	-2.75662	NA	NA	-2.75	54.75	Cfb	20
PA1168.P222.ENN_rep	PA1168.P222.ENN_rep	ENN	P0222	PA1168	NA	NA	NA	SOIL		54.66228	-2.75662	NA	NA	-2.75	54.75	Cfb	190
