Plant_ID	Tour_ID	Site.ID	HpA_plant	Albugo	Necrosis	Used_for	Latitude	Longitude	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Enterobacteriaceae	Burkholderiaceae	Pasteurellaceae	Brucellaceae	Pseudomonadaceae	Acetobacteraceae	Alcaligenaceae	Rhizobiaceae	Sphingomonadaceae	Xanthomonadaceae	Comamonadaceae	Phyllobacteriaceae	Oxalobacteraceae	Peronosporaceae	Albuginaceae	Pectobacteriaceae	Bradyrhizobiaceae	Erwiniaceae	Caulobacteraceae	Methylobacteriaceae	Hyphomicrobiaceae	Erythrobacteraceae	Campylobacteraceae	Aurantimonadaceae	Moraxellaceae
PA0001	SPS	P0002	0	NA	NA	M	38.04972	-5.0303	1	573	-5.25	38.25	Csa	0.00161355544253183	0.0591467320880026	0.412188636659316	0.00734928171128925	0.00299079925445979	0.000184785418833856	0.00145845494987767	0.00155701180417069	0.00402297383113793	0.000678771326092423	0.0010547393966792	0.000449700283726948	0.000703204480838754	3.99499147716134e-05	1.04675076340862e-05	0	0.00204051499636852	0	8.73760438052795e-05	0.000607690242663522	7.87490216613216e-05	0.0003114843705425	0.00013392146731975	7.41689648050314e-05	0
PA0004	SPS	P0002	0	NA	NA	M	38.04972	-5.0303	1	573	-5.25	38.25	Csa	0.00103689729080541	0.0440168537304249	0.000423217900924316	0.0196126118823714	0.00113344992978637	0.341531745662765	0.00234582445261627	0.00166204368868117	0.00467187850596869	0.00114655559501124	0.00100216521662829	0.000949521504085803	0.000708646898745928	8.56176971701684e-05	0	5.78939857010383e-05	0.00207344336147504	0	0.000387430060927883	0.000583815072440633	0.000407373612798154	0.000537109374741523	0.000197938321091268	0.000219246109894141	0
PA0007	SPS	P0003	0	NA	NA	M	38.06156	-4.38364	1	302	-4.25	38.25	Csa	0.00594319015978462	0.0482629641236253	0.000385041345168865	0	0.000824965266721161	6.21198970912451e-05	0.000288407882760864	0.000988692741944538	0.00167441956425342	0.00391173767387173	0.000455882232591351	0.000345547800696968	0.000214907698490501	3.22322132567999e-05	2.81511604599453e-05	0	0.000428728976518718	0	0.000234987841948907	0.000204289145625463	0.00015883984199108	6.98084555435217e-05	9.00416041559145e-05	9.97344593556987e-05	0.000160722879884718
PA0010	SPS	P0003	0	NA	NA	M	38.06156	-4.38364	1	302	-4.25	38.25	Csa	0.00708770920157441	0.0969939486415892	0.0011344725692893	0.000377449477900976	0.00182298695475379	0.000122018618071928	0.000283251687006505	0.00142796581950103	0.00265647425274578	0.00832390669560119	0.000497479897111401	0.000593897586868071	0.000295491768780919	2.37419709896906e-05	3.45598376816989e-05	0	0.000336851280776375	0	5.76966742559837e-05	0.000642037875876059	5.20000271572853e-05	0.000137120820767693	0	0.000146927089482192	0.000157849454155308
PA0013	SPS	P0004	0	NA	NA	M	38.05736	-4.19318	1	213	-4.25	38.25	Csa	0.0233004216359858	1.22095913818231	0.00648125723698727	7.54416562269035e-05	0.00265682380024607	0.000128037678360403	0.00027740927057783	0.00107885231336896	0.00278751555557902	0.00474799383113998	0.00208808039506128	0.00100898072920653	0.000177181766647706	0.0620780072091748	0.00116046851241502	3.61878344593756e-05	0.000530201742465781	0.000108080748112755	0.000363256772003328	0.000252640868496877	7.2753517532567e-05	0.000335731335550047	0.000185588168876644	0.000171305400609362	0.000276060024826001
PA0016	SPS	P0004	0	NA	NA	M	38.05736	-4.19318	1	213	-4.25	38.25	Csa	0.0845817924937351	0.0258620610091275	0.000531937339661366	0.021895010535734	0.000854771509862588	0	0.00345312524595973	0.00139266808930203	0.000949014343429998	0.000660500285252309	0.000606478432742176	0.000954753457699296	0.000831310212157647	0.00341636616707147	9.07457299839955e-05	0	0.00023691684445481	7.24426602318506e-05	0.000108212454815943	0.000112890759404598	4.8764080960888e-05	6.42939164734879e-05	8.29287416784351e-05	4.59279534937286e-05	0
PA0019	SPS	P0004	1	NA	NA	M	38.05736	-4.19318	1	213	-4.25	38.25	Csa	0.0130020925126362	0.188891455737171	0.00458150312041151	0.0164407538766504	0.118303722626836	0.00406531345954811	0.0187598922859805	0.0363305814705552	0.17777862686335	0.0160320673236232	0.0863889068755405	0.00702394931385634	0.00860900010370665	0.285388615206181	0.00774602089980361	0.00114899686079512	0.015303991389833	0.00889112598512167	0.0115337349396506	0.0146657147299961	0.00325498698121312	0.015366691725338	0.00214276152721345	0.010779313687292	0.00159366516728747
PA0022	SPS	P0005	0	NA	NA	M	38.85756	-3.16225	0	764	-3.25	38.75	Csa	0.00368321722537282	0.222622097431412	0.00125277874400959	0.000102076171203649	0.00412204850924814	0.000115494070786969	0.000428969164300789	0.00183818961188843	0.00898009987089261	0.0025454626478197	0.00263692118805975	0.000321223344070878	0.0011986770473397	5.49326472299861e-05	3.92542358141776e-05	9.79277436501249e-05	0.000876807959915339	0.00014623842449845	0.000764561461224812	0.00106348724357055	0.000393755963627619	0.000648943662465336	0.000502219347959338	9.27137619997004e-05	0.000298817939753272
PA0025	SPS	P0005	0	NA	NA	M	38.85756	-3.16225	0	764	-3.25	38.75	Csa	0.063722260035332	0.267305280786144	0	0.000194676049135261	0.00859271985541285	0.00132159714461654	0.00184075820561225	0.00391816877458836	0.024205492345263	0.00323641065069785	0.0102376935720095	0.00137840795012964	0.00853467739157306	6.66690145000329e-05	7.48642846809165e-05	0.000186764315410132	0.00304039455801226	0.00167340438286966	0.00479104611677505	0.00217311975853881	0.000750957392098304	0.00173269923394073	0	0.000353640789495508	0.000284947482041851
PA0028	SPS	P0006	0	NA	NA	M	38.60214	-2.70252	1	1028	-2.75	38.75	Csa	0.00783734031654842	0.136471929272579	0.000979246827957104	0.000744695870545415	0.00507034164245803	0.00063193953525116	0.000782385255734141	0.00256377153315515	0.00371247388446656	0.000663228638863748	0.00103058769209155	0.00131820877933898	0.000728744881351516	0.00342468215503349	0.000190919303807044	0	0.000581522298772188	0.00133360153445844	0.00019920899553963	0.000277095088237263	0.000359080425747831	0.000710154475754785	0	0.000338196245459485	0
