Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ
BAL	P0180	PA0763	0	0	1	M	42.32156	23.09941	0	575	23.25	42.25	Dfb
BAL	P0180	PC0152	0	NA	0	M	42.32156	23.09941	0	575	23.25	42.25	Dfb
BAL	P0181	PA0766	0	0	0	M	43.40865	21.59418	1	319	21.75	43.25	Cfb
BAL	P0181	PA0769	0	0	0	M	43.40865	21.59418	1	319	21.75	43.25	Cfb
BAL	P0182	PA0775	0	0	0	M	44.30005	21.0794	1	123	21.25	44.25	Cfb
BAL	P0182	PA0778	0	0	0	M	44.30005	21.0794	1	123	21.25	44.25	Cfb
BAL	P0182	PC0153	0	NA	0	M	44.30005	21.0794	1	123	21.25	44.25	Cfb
BAL	P0183	PA0781	0	0	1	M	44.37975	21.21955	0	111	21.25	44.25	Cfb
BAL	P0183	PC0154	0	NA	0	M	44.37975	21.21955	0	111	21.25	44.25	Cfb
BAL	P0184	PA0786	0	0	1	M	44.65704	21.37022	1	226	21.25	44.75	Cfa
BAL	P0184	PA0788	0	0	1	M	44.65704	21.37022	1	226	21.25	44.75	Cfa
BAL	P0184	PC0155	0	NA	0	M	44.65704	21.37022	1	226	21.25	44.75	Cfa
BAL	P0185	PA0791	0	0	1	M	45.06708	18.71792	0	90	18.75	45.25	Cfb
BAL	P0185	PC0156	0	NA	0	M	45.06708	18.71792	0	90	18.75	45.25	Cfb
BAL	P0186	PA1131	0	0	0	M	45.16984	18.70019	0	82	18.75	45.25	Cfb
BAL	P0186	PA1134	0	0	1	M	45.16984	18.70019	0	82	18.75	45.25	Cfb
BNE	P0089	PA0826	0	NA	NA	M	51.9669	5.66569	0	15	5.75	51.75	Cfb
BNE	P0089	PA0829	0	NA	NA	M	51.9669	5.66569	0	15	5.75	51.75	Cfb
BNE	P0089	PC0135	0	NA	NA	M	51.9669	5.66569	0	15	5.75	51.75	Cfb
BNE	P0090	PA0933	0	NA	NA	M	51.97493	5.7356	0	19	5.75	51.75	Cfb
BNE	P0090	PA0935	0	NA	NA	M	51.97493	5.7356	0	19	5.75	51.75	Cfb
BNE	P0090	PC0136	0	NA	NA	M	51.97493	5.7356	0	19	5.75	51.75	Cfb
BNE	P0091	PA0939	0	NA	NA	M	51.83523	5.58604	0	-2	5.75	51.75	Cfb
BNE	P0091	PA0940	0	NA	NA	M	51.83523	5.58604	0	-2	5.75	51.75	Cfb
BNE	P0092	PA0946	0	NA	NA	M	51.5744	5.46741	1	3	5.25	51.75	Cfb
BNE	P0092	PA0947	0	NA	NA	M	51.5744	5.46741	1	3	5.25	51.75	Cfb
BNE	P0093	PA1236	0	0	NA	M	51.2502	4.81116	1	5	4.75	51.25	Cfb
BNE	P0093	PA1238	0	0	NA	M	51.2502	4.81116	1	5	4.75	51.25	Cfb
BNE	P0094	PA1243	NA	NA	NA	M	51.16745	4.2268	1	12	4.25	51.25	Cfb
BNE	P0094	PA1244	NA	NA	NA	M	51.16745	4.2268	1	12	4.25	51.25	Cfb
BNE	P0094	PC0137	NA	NA	NA	M	51.16745	4.2268	1	12	4.25	51.25	Cfb
BNE	P0095	PA1246	NA	NA	NA	M	51.16784	3.76163	1	1	3.75	51.25	Cfb
BNE	P0095	PA1248	NA	NA	NA	M	51.16784	3.76163	1	1	3.75	51.25	Cfb
BNE	P0096	PA1255	NA	NA	NA	M	50.93634	3.62578	1	-2	3.75	50.75	Cfb
BNE	P0096	PA1256	NA	NA	NA	M	50.93634	3.62578	1	-2	3.75	50.75	Cfb
BNE	P0096	PC0157	NA	NA	NA	M	50.93634	3.62578	1	-2	3.75	50.75	Cfb
BNE	P0188	PA1259	0	NA	NA	M	50.89959	4.12158	1	32	4.25	50.75	Cfb
BNE	P0188	PA1262	0	NA	NA	M	50.89959	4.12158	1	32	4.25	50.75	Cfb
BNE	P0188	PC0158	0	NA	NA	M	50.89959	4.12158	1	32	4.25	50.75	Cfb
BNE	P0189	PA1266	0	NA	NA	M	50.88866	4.60247	1	37	4.75	50.75	Cfb
BNE	P0189	PA1268	0	NA	NA	M	50.88866	4.60247	1	37	4.75	50.75	Cfb
BNE	P0189	PC0159	0	NA	NA	M	50.88866	4.60247	1	37	4.75	50.75	Cfb
BNE	P0190	PA1107	0	NA	NA	M	50.7892	5.37844	1	86	5.25	50.75	Cfb
BNE	P0190	PA1110	0	NA	NA	M	50.7892	5.37844	1	86	5.25	50.75	Cfb
BNE	P0190	PC0160	0	NA	NA	M	50.7892	5.37844	1	86	5.25	50.75	Cfb
BNE	P0191	PA1112	0	NA	NA	M	50.29948	5.30176	0	199	5.25	50.25	Cfb
BNE	P0191	PA1114	0	NA	NA	M	50.29948	5.30176	0	199	5.25	50.25	Cfb
BNE	P0192	PA1102	0	NA	NA	M	50.17861	5.22021	0	184	5.25	50.25	Cfb
BNE	P0192	PA1104	0	NA	NA	M	50.17861	5.22021	0	184	5.25	50.25	Cfb
CSA	P0076	PA0498	0	0	0	M	48.21421	13.5169	1	444	13.75	48.25	Cfb
CSA	P0076	PA0501	0	0	1	M	48.21421	13.5169	1	444	13.75	48.25	Cfb
CSA	P0077	PA0504	0	0	0	M	48.19236	13.38836	1	471	13.25	48.25	Cfb
CSA	P0077	PA0685	0	0	0	M	48.19236	13.38836	1	471	13.25	48.25	Cfb
CSA	P0077	PC0127	0	0	0	M	48.19238	13.38832	1	471	13.25	48.25	Cfb
CSA	P0078	PA0691	0	0	NA	M	48.35802	13.69856	0	439	13.75	48.25	Cfb
CSA	P0078	PA0692	0	0	0	M	48.35801	13.69853	0	439	13.75	48.25	Cfb
CSA	P0078	PC0128	0	0	0	M	48.35823	13.69829	0	439	13.75	48.25	Cfb
CSA	P0079	PA0694	0	0	1	M	48.32721	14.71513	0	657	14.75	48.25	Cfb
CSA	P0080	PA0881	0	0	1	M	48.33207	14.71572	1	596	14.75	48.25	Cfb
CSA	P0080	PA0882	1	0	0	M	48.33208	14.71581	1	596	14.75	48.25	Cfb
CSA	P0080	PC0129	0	0	0	M	48.33207	14.71572	1	596	14.75	48.25	Cfb
CSA	P0081	PA0889	1	0	0	M	48.42646	15.56987	1	363	15.75	48.25	Cfb
CSA	P0081	PA0890	0	0	0	M	48.42641	15.56995	1	363	15.75	48.25	Cfb
CSA	P0082	PA0895	0	0	1	M	49.27734	16.63	1	432	16.75	49.25	Cfb
CSA	P0082	PA0896	0	0	0	M	49.27725	16.63093	1	432	16.75	49.25	Cfb
CSA	P0082	PC0130	0	0	0	M	49.27726	16.63096	1	432	16.75	49.25	Cfb
CSA	P0083	PA0898	0	0	0	M	49.30572	16.6231	0	497	16.75	49.25	Cfb
CSA	P0084	PA0902	1	0	1	M	49.40778	16.27651	1	495	16.25	49.25	Cfb
CSA	P0084	PA0903	1	0	1	M	49.40779	16.27656	1	495	16.25	49.25	Cfb
CSA	P0084	PC0131	0	0	1	M	49.40764	16.27661	1	495	16.25	49.25	Cfb
CSA	P0085	PA0908	0	0	1	M	49.5083	15.32869	1	558	15.25	49.75	Cfb
CSA	P0085	PA0909	0	0	0	M	49.50829	15.32866	1	558	15.25	49.75	Cfb
CSA	P0085	PC0132	0	0	0	M	49.50827	15.32863	1	558	15.25	49.75	Cfb
CSA	P0086	PA0913	0	0	1	M	49.8593	13.83349	0	396	13.75	49.75	Cfb
CSA	P0086	PA0915	0	0	0	M	49.85926	13.83335	0	396	13.75	49.75	Cfb
CSA	P0087	PA0923	0	0	1	M	49.98418	13.41717	1	526	13.25	49.75	Cfb
CSA	P0087	PA0924	0	0	0	M	49.98421	13.41717	1	526	13.25	49.75	Cfb
CSA	P0087	PC0133	0	0	0	M	49.98421	13.41717	1	526	13.25	49.75	Cfb
CSA	P0088	PA0929	0	0	1	M	49.76263	13.1018	1	446	13.25	49.75	Cfb
CSA	P0088	PA0930	0	0	0	M	49.76264	13.10176	1	446	13.25	49.75	Cfb
CSA	P0088	PC0134	0	0	1	M	49.7626	13.10179	1	446	13.25	49.75	Cfb
ENN	P0136	PA1043	NA	NA	NA	M	53.29245	-3.69683	0	21	-3.75	53.25	Cfb
ENN	P0136	PA1045	NA	NA	NA	M	53.29245	-3.69683	0	21	-3.75	53.25	Cfb
ENN	P0137	PA1049	NA	NA	NA	M	53.09408	-3.80547	0	26	-3.75	53.25	Cfb
ENN	P0137	PA1050	NA	NA	NA	M	53.09408	-3.80547	0	26	-3.75	53.25	Cfb
ENN	P0138	PA1056	NA	NA	NA	M	53.11388	-3.30541	0	66	-3.25	53.25	Cfb
ENN	P0138	PA1059	NA	NA	NA	M	53.11388	-3.30541	0	66	-3.25	53.25	Cfb
ENN	P0139	PA1064	NA	NA	NA	M	52.93189	-3.05634	0	115	-3.25	52.75	Cfb
ENN	P0139	PA1065	NA	NA	NA	M	52.93189	-3.05634	0	115	-3.25	52.75	Cfb
ENN	P0139	PC0173	NA	NA	NA	M	52.93189	-3.05634	0	115	-3.25	52.75	Cfb
ENN	P0140	PA1067	NA	NA	NA	M	52.9376	-1.30914	0	88	-1.25	52.75	Cfb
ENN	P0140	PA1072	NA	1	NA	M	52.9376	-1.30914	0	88	-1.25	52.75	Cfb
ENN	P0141	PA1074	NA	NA	NA	M	52.97068	-1.15283	0	69	-1.25	52.75	Cfb
ENN	P0141	PA1076	NA	NA	NA	M	52.97068	-1.15283	0	69	-1.25	52.75	Cfb
ENN	P0141	PC0174	NA	NA	NA	M	52.97068	-1.15283	0	69	-1.25	52.75	Cfb
ENN	P0142	PA1080	NA	NA	NA	M	53.0771	-0.95371	0	33	-0.75	53.25	Cfb
ENN	P0142	PA1083	NA	NA	NA	M	53.0771	-0.95371	0	33	-0.75	53.25	Cfb
ENN	P0143	PA1085	NA	NA	NA	M	53.21505	-1.67419	0	147	-1.75	53.25	Cfb
ENN	P0143	PA1089	NA	NA	NA	M	53.21505	-1.67419	0	147	-1.75	53.25	Cfb
ENN	P0143	PC0175	NA	NA	NA	M	53.21505	-1.67419	0	147	-1.75	53.25	Cfb
ENN	P0144	PA1137	NA	NA	NA	M	54.13288	-1.52196	0	31	-1.75	54.25	Cfb
ENN	P0144	PA1139	NA	NA	NA	M	54.13288	-1.52196	0	31	-1.75	54.25	Cfb
ENN	P0217	PA1141	NA	NA	NA	M	54.0691	-2.27695	0	141	-2.25	54.25	Cfb
ENN	P0217	PA1142	NA	NA	NA	M	54.0691	-2.27695	0	141	-2.25	54.25	Cfb
ENN	P0217	PC0176	NA	NA	NA	M	54.0691	-2.27695	0	141	-2.25	54.25	Cfb
ENN	P0218	PA1148	NA	NA	NA	M	54.37309	-2.90755	0	111	-2.75	54.25	Cfb
ENN	P0218	PA1149	NA	NA	NA	M	54.37309	-2.90755	0	111	-2.75	54.25	Cfb
ENN	P0219	PA1156	NA	NA	NA	M	54.42704	-2.96201	0	50	-2.75	54.25	Cfb
ENN	P0219	PA1157	NA	NA	NA	M	54.42704	-2.96201	0	50	-2.75	54.25	Cfb
ENN	P0220	PA1159	NA	NA	NA	M	54.4543	-3.01655	0	74	-3.25	54.25	Cfb
ENN	P0221	PA1165	NA	NA	NA	M	54.60192	-3.13684	0	80	-3.25	54.75	Cfb
ENN	P0221	PA1166	NA	NA	NA	M	54.60192	-3.13684	0	80	-3.25	54.75	Cfb
ENN	P0222	PA1168	NA	1	NA	M	54.66228	-2.75662	1	149	-2.75	54.75	Cfb
ENN	P0222	PA1169	NA	1	NA	M	54.66228	-2.75662	1	149	-2.75	54.75	Cfb
ENN	P0222	PC0177	NA	NA	NA	M	54.66228	-2.75662	1	149	-2.75	54.75	Cfb
ENN	P0223	PA1178	NA	NA	NA	M	54.81207	-2.44087	1	299	-2.25	54.75	Cfb
ENN	P0223	PA1179	NA	NA	NA	M	54.81207	-2.44087	1	299	-2.25	54.75	Cfb
ENN	P0224	PA1181	NA	NA	NA	M	54.99167	-2.36397	0	175	-2.25	54.75	Cfb
ENN	P0224	PA1184	NA	NA	NA	M	54.99167	-2.36397	0	175	-2.25	54.75	Cfb
ENN	P0225	PA1188	NA	NA	NA	M	54.97908	-2.12989	0	75	-2.25	54.75	Cfb
ENN	P0225	PA1189	NA	NA	NA	M	54.97908	-2.12989	0	75	-2.25	54.75	Cfb
ENN	P0225	PC0178	NA	NA	NA	M	54.97908	-2.12989	0	75	-2.25	54.75	Cfb
ENN	P0226	PA1200	NA	NA	NA	M	55.01078	-1.43359	0	0	-1.25	55.25	Cfb
ENN	P0226	PA1202	NA	NA	NA	M	55.01078	-1.43359	0	0	-1.25	55.25	Cfb
ENN	P0226	PC0179	NA	NA	NA	M	55.01078	-1.43359	0	0	-1.25	55.25	Cfb
ENN	P0227	PA1194	NA	NA	NA	M	55.16567	-1.9606	0	195	-1.75	55.25	Cfb
ENN	P0227	PA1196	NA	NA	NA	M	55.16567	-1.9606	0	195	-1.75	55.25	Cfb
ENN	P0228	PA1208	1	NA	NA	M	55.4767	-2.55439	1	75	-2.75	55.25	Cfb
ENN	P0228	PA1210	1	NA	NA	M	55.4767	-2.55439	1	75	-2.75	55.25	Cfb
ENN	P0228	PC0180	NA	NA	NA	M	55.4767	-2.55439	1	75	-2.75	55.25	Cfb
ENN	P0229	PA1214	NA	NA	NA	M	55.78159	-2.31209	0	106	-2.25	55.75	Cfb
ENN	P0229	PA1217	NA	NA	NA	M	55.78159	-2.31209	0	106	-2.25	55.75	Cfb
ENN	P0229	PC0181	NA	NA	NA	M	55.78159	-2.31209	0	106	-2.25	55.75	Cfb
ENN	P0230	PA1220	NA	NA	NA	M	55.94075	-3.1586	0	123	-3.25	55.75	Cfb
ENN	P0230	PA1222	NA	NA	NA	M	55.94075	-3.1586	0	123	-3.25	55.75	Cfb
ENN	P0230	PC0182	NA	NA	NA	M	55.94075	-3.1586	0	123	-3.25	55.75	Cfb
ENN	P0231	PA1225	NA	NA	NA	M	55.9538	-3.22198	1	70	-3.25	55.75	Cfb
ENN	P0231	PA1226	NA	NA	NA	M	55.9538	-3.22198	1	70	-3.25	55.75	Cfb
ENS	P0121	PA0950	NA	NA	NA	M	52.3493	-1.58047	1	72	-1.75	52.25	Cfb
ENS	P0121	PA0951	NA	NA	1	M	52.3493	-1.58047	1	72	-1.75	52.25	Cfb
ENS	P0121	PC0169	NA	NA	NA	M	52.3493	-1.58047	1	72	-1.75	52.25	Cfb
ENS	P0122	PA0958	NA	NA	NA	M	51.98942	-2.1637	0	12	-2.25	51.75	Cfb
ENS	P0122	PA0959	NA	NA	NA	M	51.98942	-2.1637	0	12	-2.25	51.75	Cfb
ENS	P0123	PA0961	NA	NA	NA	M	51.99802	-1.73753	0	182	-1.75	51.75	Cfb
ENS	P0123	PA0963	NA	NA	NA	M	51.99802	-1.73753	0	182	-1.75	51.75	Cfb
ENS	P0124	PA0969	NA	NA	NA	M	51.01181	-3.10619	0	27	-3.25	51.25	Cfb
ENS	P0124	PA0970	NA	NA	NA	M	51.01181	-3.10619	0	27	-3.25	51.25	Cfb
ENS	P0125	PA0977	NA	NA	1	M	51.0066	-2.19835	0	201	-2.25	51.25	Cfb
ENS	P0125	PA0978	NA	NA	NA	M	51.0066	-2.19835	0	201	-2.25	51.25	Cfb
ENS	P0126	PA0981	NA	NA	1	M	50.79885	-1.98779	0	22	-1.75	50.75	Cfb
ENS	P0126	PA0983	NA	NA	NA	M	50.79885	-1.98779	0	22	-1.75	50.75	Cfb
ENS	P0127	PA0987	NA	NA	NA	M	51.01015	-1.46641	0	45	-1.25	51.25	Cfb
ENS	P0127	PA0988	NA	NA	NA	M	51.01015	-1.46641	0	45	-1.25	51.25	Cfb
ENS	P0128	PA0996	NA	NA	NA	M	51.31384	-0.47081	0	27	-0.25	51.25	Cfb
ENS	P0128	PA0998	NA	NA	NA	M	51.31384	-0.47081	0	27	-0.25	51.25	Cfb
ENS	P0129	PA0999	NA	NA	NA	M	51.29502	0.40597	0	35	0.25	51.25	Cfb
ENS	P0129	PA1001	NA	NA	NA	M	51.29502	0.40597	0	35	0.25	51.25	Cfb
ENS	P0130	PA1005	NA	NA	NA	M	51.29239	0.43776	0	41	0.25	51.25	Cfb
ENS	P0130	PA1007	NA	NA	NA	M	51.29239	0.43776	0	41	0.25	51.25	Cfb
ENS	P0131	PA1013	NA	NA	NA	M	51.26886	0.53955	0	33	0.75	51.25	Cfb
ENS	P0132	PA1014	NA	1	NA	M	51.17516	0.75432	0	91	0.75	51.25	Cfb
ENS	P0132	PA1017	NA	1	NA	M	51.17516	0.75432	0	91	0.75	51.25	Cfb
ENS	P0132	PC0171	NA	NA	NA	M	51.17516	0.75432	0	91	0.75	51.25	Cfb
ENS	P0133	PA1024	NA	NA	NA	M	51.23567	0.97759	0	8	0.75	51.25	Cfb
ENS	P0133	PA1025	NA	NA	NA	M	51.23567	0.97759	0	8	0.75	51.25	Cfb
ENS	P0134	PA1028	NA	NA	NA	M	51.25483	1.02029	1	18	1.25	51.25	Cfb
ENS	P0134	PA1030	NA	NA	NA	M	51.25483	1.02029	1	18	1.25	51.25	Cfb
ENS	P0134	PC0172	NA	NA	NA	M	51.25483	1.02029	1	18	1.25	51.25	Cfb
ENS	P0135	PA1036	NA	NA	NA	M	51.18385	0.93995	0	41	0.75	51.25	Cfb
ENS	P0135	PA1042	NA	NA	1	M	51.18385	0.93995	0	41	0.75	51.25	Cfb
FRN	P0145	PA0601	0	0	0	M	48.51785	-4.06526	0	90	-4.25	48.75	Cfb
FRN	P0145	PA0603	0	0	0	M	48.51785	-4.06526	0	90	-4.25	48.75	Cfb
FRN	P0145	PC0076	0	0	0	M	48.51785	-4.06526	0	90	-4.25	48.75	Cfb
FRN	P0146	PA0607	0	0	0	M	48.66685	-4.06705	0	45	-4.25	48.75	Cfb
FRN	P0146	PA0610	0	0	0	M	48.66624	-4.06754	0	45	-4.25	48.75	Cfb
FRN	P0147	PA0613	0	0	0	M	48.2679	-4.58567	0	39	-4.75	48.25	Cfb
FRN	P0147	PA0616	0	0	0	M	48.2679	-4.58567	0	39	-4.75	48.25	Cfb
FRN	P0147	PC0077	0	0	0	M	48.2679	-4.58567	0	39	-4.75	48.25	Cfb
FRN	P0148	PA0619	0	0	NA	M	47.6455	-2.76859	0	15	-2.75	47.75	Cfb
FRN	P0148	PA0620	0	0	NA	M	47.6455	-2.76859	0	15	-2.75	47.75	Cfb
FRN	P0149	PA0628	0	0	NA	M	47.21975	-1.53567	0	100	-1.75	47.25	Cfb
FRN	P0149	PA0629	0	0	NA	M	47.21975	-1.53567	0	100	-1.75	47.25	Cfb
FRN	P0150	PA0635	0	0	NA	M	47.4757	-0.55217	0	24	-0.75	47.25	Cfb
FRN	P0150	PA0636	0	0	NA	M	47.4757	-0.55217	0	24	-0.75	47.25	Cfb
FRN	P0151	PA0641	NA	NA	NA	M	47.26093	-0.01284	0	21	-0.25	47.25	Cfb
FRN	P0151	PA0648	NA	NA	NA	M	47.26093	-0.01284	0	21	-0.25	47.25	Cfb
FRN	P0151	PC0078	NA	NA	NA	M	47.26093	-0.01284	0	21	-0.25	47.25	Cfb
FRN	P0152	PA0649	0	0	NA	M	48.61082	2.30889	0	71	2.25	48.75	Cfb
FRN	P0152	PA0650	0	0	NA	M	48.61082	2.30889	0	71	2.25	48.75	Cfb
FRN	P0153	PA0655	1	NA	NA	M	48.80611	2.16515	1	113	2.25	48.75	Cfb
FRN	P0153	PA0656	0	NA	NA	M	48.80611	2.16515	1	113	2.25	48.75	Cfb
FRN	P0154	PA0663	0	NA	NA	M	48.84444	2.35691	0	34	2.25	48.75	Cfb
FRN	P0154	PA0664	0	NA	NA	M	48.84444	2.35691	0	34	2.25	48.75	Cfb
FRN	P0154	PC0079	NA	NA	NA	M	48.84444	2.35691	0	34	2.25	48.75	Cfb
FRN	P0155	PA0669	0	NA	NA	M	48.80338	3.46323	0	146	3.25	48.75	Cfb
FRN	P0156	PA0672	0	NA	NA	M	48.96777	4.38613	0	128	4.25	48.75	Cfb
FRN	P0156	PC0080	NA	NA	NA	M	48.96777	4.38613	0	128	4.25	48.75	Cfb
FRN	P0157	PA0675	NA	NA	NA	M	48.56088	7.50467	0	169	7.75	48.75	Cfb
FRN	P0157	PA0676	NA	NA	NA	M	48.56088	7.50467	0	169	7.75	48.75	Cfb
FRS	P0060	PA0282	0	0	0	M	43.96732	4.23756	0	69	4.25	43.75	Csa
FRS	P0060	PA0283	0	0	0	M	43.96732	4.23756	0	69	4.25	43.75	Csa
FRS	P0060	PC0109	NA	NA	NA	M	43.96732	4.23756	0	69	4.25	43.75	Csa
FRS	P0061	PA0285	0	0	0	M	43.97561	4.20833	1	94	4.25	43.75	Csa
FRS	P0061	PA0290	0	0	0	M	43.97561	4.20833	1	94	4.25	43.75	Csa
FRS	P0061	PC0110	NA	NA	NA	M	43.97561	4.20833	1	94	4.25	43.75	Csa
FRS	P0062	PA0291	0	0	0	M	43.91103	4.00467	0	88	4.25	43.75	Csa
FRS	P0062	PA0292	0	0	0	M	43.91103	4.00467	0	88	4.25	43.75	Csa
FRS	P0062	PC0111	NA	NA	NA	M	43.91103	4.00467	0	88	4.25	43.75	Csa
FRS	P0063	PA0295	0	0	0	M	43.84925	4.02346	0	125	4.25	43.75	Csa
FRS	P0063	PA0297	0	0	0	M	43.84925	4.02346	0	125	4.25	43.75	Csa
FRS	P0064	PA0300	0	0	0	M	43.83829	3.70065	0	180	3.75	43.75	Csa
